Word;lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;;1,2;1,2;1,45;1,29;1
abad;;1,35;1,56;1,71;1,24;2,23
abadesa;;1,64;1,4;1,36;1,69;1,33
afín		1,16	1,3	2,45	1,25	1,25
afinación		1,2	1	1,82	1,1	1,05
afinar		1,05	1	2,6	1,3	1,15
afincado		1,26	1,21	1,53	1,21	1,31
afinidad		1,05	1,35	3,15	1,15	1,1
afirmación		1,15	1,15	2,6	1,35	1,35
afirmar		1,55	1,35	3,4	1,15	1,05
afirmativo		1,2	1,25	2,95	1,05	1
aflicción		3,35	2,27	1,42	2,17	1,93
afligido		4,1	2,55	1,1	1,97	1,48
aflojar		1,25	1,1	1,9	1,55	1,4
afluencia		1,26	1,63	2,2	1,42	1,37
afluente		1,16	1,25	2,15	1,05	1
aforo		1,2	1,65	1,75	1,55	1,4
afortunado		1,13	1,07	4,1	1,33	1,07
áfrica		2,6	1,3	2,05	1,4	1,25
afroamericano		1,05	1,05	2,65	1,05	1,2
afrontar		1,8	2,05	3,4	1,8	1,2
afuera		1,35	1,45	2,1	1,15	1,25
agachar		1,2	1,1	1,55	1,2	1,05
agarrado		2	2,35	1,8	2,5	2,45
agarrar		1,3	2,2	2,1	1,7	1,55
agarre		1,42	1,7	1,3	1,65	1,2
ágata		1,19	1,15	2,13	1,13	1,18
agencia		1,28	1,28	1,55	1,34	1,31
agenda		1,15	1,35	1,9	1,4	1,35
agente		1,37	2,07	1,43	1,87	1,77
ágil		1	1,1	3,4	1,1	1,05
agilidad		1,13	1,13	3,07	1,1	1,03
agilizar		1,1	1,25	2,45	1,25	1,1
agitación		1,4	2,15	2,15	2,1	1,75
agitar		1,3	1,7	1,9	1,6	1,25
aglomeración		1,43	2,47	1,77	2,47	2,1
aglomerado		1,9	1,85	1,7	2	2,16
aglutinar		1,58	1,68	1,3	2,05	1,95
agobiado		2,57	2,3	1,07	2,77	1,57
agonía		3,6	3,07	1,07	2,2	2,03
agonizante		4,15	3,7	1,05	2,4	2,6
agonizar		4,1	4,17	1	3,03	1,72
agosto		1,2	1,2	3,35	1,3	1,2
agotamiento		2,65	2,1	1,05	2,15	2,3
agotar		2,25	1,65	1,4	2,25	1,55
agradable		1,1	1	4,4	1	1
agradar		1,13	1,3	4,43	1,07	1,1
agradecer		1,05	1,15	3,85	1,05	1
agradecido		1,1	1,07	4,3	1,03	1,03
agradecimiento		1,25	1,1	4	1,1	1
agrado		1	1,15	4,45	1,05	1
agravamiento		2,53	2,84	1,26	2,75	1,5
agravar		2,2	2,67	1,1	3,11	1,84
agravio		1,69	2,13	1,06	2,5	2
agredir		3,37	3,53	1	3,97	3,2
agregación		1,1	1,05	2,15	1,1	1,3
agregado		1,05	1,15	2,25	1,3	1,11
agregar		1,2	1,4	2,65	1,05	1,35
agresión		3,48	3,93	1,1	4,31	3,41
agresividad		3,43	3,87	1,3	4,4	3,2
agresivo		2,87	3,4	1,23	3,9	2,23
agresor		3,95	3,9	1	4,5	3,6
agria		2	1,65	1	2,45	3,25
agrícola		1,2	1	1,65	1,2	1,5
agricultor		1,5	1,3	2,17	1,2	1,2
agricultura		1,15	1,21	2,65	1,15	1,1
agropecuaria		1,29	1	1,38	1,28	1,54
agrupación		1,35	1,65	2,85	1,5	1,55
agrupar		1,25	1,2	2	1,35	1,15
agua		1,37	1,87	3	1,17	1,27
aguacero		1,42	1,63	2,11	1,5	1,5
aguafuerte		1,21	2	1,56	1,68	2,82
